Country,Country code,Tot_1990,Tot_1995,Tot_2000,Tot_2005,Tot_2010,Tot_2015,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015
Burundi,108,333110,254853,125628,172874,235259,286810,163267,124165,61094,84805,115823,141311,169843,130688,64534,88069,119436,145499
Comoros,174,14079,13939,13799,13209,12618,12555,6717,6614,6511,6286,6060,6071,7362,7325,7288,6923,6558,6484
Djibouti,262,122221,99774,100507,92091,101575,112351,64242,52476,52920,51315,53295,59081,57979,47298,47587,40776,48280,53270
Eritrea,232,11848,12400,12952,14314,15676,15941,6228,6542,6856,7729,8603,8833,5620,5858,6096,6585,7073,7108
Ethiopia,231,1155390,806904,611384,514242,567720,1072949,607284,424117,322219,269725,297534,547062,548106,382787,289165,244517,270186,525887
Kenya,404,297292,618745,699139,756894,926959,1084357,160852,322189,348594,391310,459343,541644,136440,296556,350545,365584,467616,542713
Madagascar,450,23917,21177,23541,26058,28905,32075,13348,11901,13276,14744,16410,18270,10569,9276,10265,11314,12495,13805
Malawi,454,1127724,241624,232620,221661,217722,215158,546520,116198,111530,105931,103869,102544,581204,125426,121090,115730,113853,112614
Mauritius,480,3613,7493,15543,19647,24836,28585,1763,3228,5705,8943,13188,15832,1850,4265,9838,10704,11648,12753
Mayotte,175,15229,26316,45474,63176,72757,76992,8780,14679,23546,31364,34500,35623,6449,11637,21928,31812,38257,41369
Mozambique,508,122332,168256,195702,204830,214612,222928,66060,91210,103175,102500,104676,107955,56272,77046,92527,102330,109936,114973
R<e9>union,638,57210,77159,100678,115076,123029,127209,30724,40710,52264,59196,62707,64537,26486,36449,48414,55880,60322,62672
Rwanda,646,159869,233200,347076,432797,436787,441525,80690,117931,175685,217027,218425,220017,79179,115269,171391,215770,218362,221508
Seychelles,690,3721,5148,6574,8997,11420,12791,2204,3021,3837,5820,7804,8954,1517,2127,2737,3177,3616,3837
Somalia,706,478294,19527,20087,20670,23995,25291,244201,10282,10622,11047,12914,13760,234093,9245,9465,9623,11081,11531
South Sudan,728,NA,NA,NA,NA,257905,824122,NA,NA,NA,NA,132693,420949,NA,NA,NA,NA,125212,403173
Uganda,800,558307,634620,634703,652968,529160,749471,290084,321360,314325,322421,261646,374438,268223,313260,320378,330547,267514,375033
United Republic of Tanzania,834,574025,1106043,928180,770846,308600,261222,283390,547089,470962,486774,153984,130404,290635,558954,457218,284072,154616,130818
Zambia,894,279029,244338,321167,252749,149637,127915,142807,125329,163620,128553,75775,64512,136222,119009,157547,124196,73862,63403
Zimbabwe,716,626821,431226,410041,392693,397891,398866,352028,246012,233843,223970,226967,227379,274793,185214,176198,168723,170924,171487
Angola,24,33517,39813,46108,61329,76549,106845,18142,20755,23367,30240,37113,51461,15375,19058,22741,31089,39436,55384
Cameroon,120,265344,246864,228383,258737,289091,381984,145527,135079,124630,142397,160164,186605,119817,111785,103753,116340,128927,195379
Central African Republic,140,67234,99712,123529,94449,93466,81598,35686,52975,65636,50236,49743,43163,31548,46737,57893,44213,43723,38435
Chad,148,74342,89584,104825,352062,416924,516968,40133,48298,56463,159715,186773,238140,34209,41286,48362,192347,230151,278828
Congo,178,129597,191635,305002,315238,419649,392996,64418,95822,152666,171420,228180,215274,65179,95813,152336,143818,191469,177722
Democratic Republic of the Congo,180,754194,1816963,744387,622869,588950,545694,363117,901379,365092,302290,284244,264445,391077,915584,379295,320579,304706,281249
Equatorial Guinea,226,2740,3629,4517,6588,8658,10825,1465,1930,2394,3564,4734,5980,1275,1699,2123,3024,3924,4845
Gabon,266,127980,152972,195571,214123,243992,268384,73053,87305,111616,122279,139458,153144,54927,65667,83955,91844,104534,115240
Sao Tome and Principe,678,5582,4936,4365,3433,2700,2394,2953,2548,2212,1727,1352,1197,2629,2388,2153,1706,1348,1197
Algeria,12,273954,262032,250110,247537,244964,242391,150234,143696,137158,135748,134339,132930,123720,118336,112952,111789,110625,109461
Egypt,818,173708,166955,173452,274001,295714,491643,91928,88545,92205,158277,166071,265054,81780,78410,81247,115724,129643,226589
Libya,434,457075,508041,567436,625212,683998,771146,242707,300906,368950,445597,489737,549153,214368,207135,198486,179615,194261,221993
Morocco,504,54895,50360,53034,54379,70909,88511,29024,26264,27233,27543,35738,44390,25871,24096,25801,26836,35171,44121
Sudan,729,1402896,1053396,801883,541994,578363,503477,696385,525701,403048,275915,294782,254530,706511,527695,398835,266079,283581,248947
Tunisia,788,37984,37867,36446,35040,43172,56701,18900,19045,18523,18000,22236,29351,19084,18822,17923,17040,20936,27350
Western Sahara,732,2688,2989,3289,3891,4493,5179,1465,1651,1837,2224,2612,3059,1223,1338,1452,1667,1881,2120
Botswana,72,27510,40168,57064,88829,120912,160644,16614,23517,32891,49695,66692,87873,10896,16651,24173,39134,54220,72771
Lesotho,426,8240,7204,6167,6290,6414,6572,4318,3827,3335,3402,3469,3558,3922,3377,2832,2888,2945,3014
Namibia,516,120641,115372,134403,106274,102405,93888,63748,61310,72509,57034,55054,50687,56893,54062,61894,49240,47351,43201
South Africa,710,1163883,1003807,1001825,1210936,1943099,3142511,717227,611083,600032,712219,1135886,1882276,446656,392724,401793,498717,807213,1260235
Swaziland,748,72085,25031,22855,27097,30476,31579,38992,14457,13047,14721,15856,16348,33093,10574,9808,12376,14620,15231
Benin,204,76212,104971,133730,171499,209267,245399,40092,55858,71624,93882,116139,137662,36120,49113,62106,77617,93128,107737
Burkina Faso,854,349657,434848,520039,596972,673904,704676,167836,209117,250399,285542,320684,335328,181821,225731,269640,311430,353220,369348
Cabo Verde,132,8931,9979,11027,12700,14373,14924,4429,5091,5753,6523,7293,7547,4502,4888,5274,6177,7080,7377
C<f4>te d'Ivoire,384,1816426,2076394,1994135,2010824,2095185,2175399,1011749,1150710,1104600,1113590,1160366,1204616,804677,925684,889535,897234,934819,970783
Gambia,270,118123,150890,182514,181905,185763,192540,66306,82048,97138,96230,98086,101501,51817,68842,85376,85675,87677,91039
Ghana,288,164851,252879,191601,304436,337017,399471,83030,127423,97279,159363,181558,217444,81821,125456,94322,145073,155459,182027
Guinea,324,403621,774505,560075,229611,205111,228413,201260,386537,279108,111738,100953,112583,202361,387968,280967,117873,104158,115830
Guinea-Bissau,624,15368,27961,20450,20736,21061,22333,7689,13833,10155,10298,10307,10826,7679,14128,10295,10438,10754,11507
Liberia,430,94964,208563,151868,87188,99129,113779,53924,111647,82129,51183,56885,64879,41040,96916,69739,36005,42244,48900
Mali,466,160736,176187,189475,256797,336607,363145,82049,90871,97752,132244,172879,186111,78687,85316,91723,124553,163728,177034
Mauritania,478,111650,89562,57366,58119,84679,138162,57569,47015,31163,32588,48605,80230,54081,42547,26203,25531,36074,57932
Niger,562,115464,145999,122260,124461,126464,189255,55222,69751,58192,59170,60033,89731,60242,76248,64068,65291,66431,99524
Nigeria,566,456621,462999,487882,648019,920118,1199115,256166,258091,270211,357751,506367,657887,200455,204908,217671,290268,413751,541228
Saint Helena,654,383,394,405,487,569,604,222,218,215,263,312,335,161,176,190,224,257,269
Senegal,686,270410,287654,231901,238298,256092,263242,138840,147165,121492,124854,135879,139689,131570,140489,110409,113444,120213,123553
Sierra Leone,694,222242,105374,98241,149615,97452,91213,123053,59683,54639,79638,53239,49962,99189,45691,43602,69977,44213,41251
Togo,768,84844,101583,137891,203379,255262,276844,42903,50727,69081,102877,129280,139298,41941,50856,68810,100502,125982,137546
Kazakhstan,398,3619200,3245250,2871300,3102962,3334623,3546778,1666164,1494009,1321855,1473441,1625026,1758182,1953036,1751241,1549445,1629521,1709597,1788596
Kyrgyzstan,417,623083,510296,389558,312897,231511,204382,260416,213277,162815,129544,94348,82616,362667,297019,226743,183353,137163,121766
Tajikistan,762,428900,348347,299266,280444,278152,275059,188128,151957,131420,121381,120124,118597,240772,196390,167846,159063,158028,156462
