country_name,code,century,decade,year,tot_africa,tot_asia,tot_oceania,tot_developed,tot_latam
Burundi,108,19,9,0,272528,0,0,963,0
Comoros,174,19,9,0,11060,0,0,543,0
Djibouti,262,19,9,0,114621,289,0,0,0
Eritrea,232,19,9,0,9644,47,0,142,0
Ethiopia,231,19,9,0,741623,68,0,0,0
Kenya,404,19,9,0,190929,0,0,0,0
Madagascar,450,19,9,0,8179,2652,0,6672,0
Malawi,454,19,9,0,1094691,1362,0,769,0
Mauritius,480,19,9,0,240,1069,0,1894,0
Mayotte,175,19,9,0,11374,0,0,1359,0
Mozambique,508,19,9,0,47311,2009,0,6499,0
R<e9>union,638,19,9,0,6588,0,0,37516,0
Rwanda,646,19,9,0,139650,0,0,0,0
Seychelles,690,19,9,0,441,1781,0,705,20
Somalia,706,19,9,0,460000,0,0,0,0
South Sudan,728,19,9,0,0,0,0,0,0
Uganda,800,19,9,0,531215,1888,0,3477,0
United Republic of Tanzania,834,19,9,0,561375,5375,0,2639,0
Zambia,894,19,9,0,262236,4384,0,3276,0
Zimbabwe,716,19,9,0,579810,0,0,19136,0
Angola,24,19,9,0,18887,0,0,5298,0
Cameroon,120,19,9,0,200667,0,0,11808,0
Central African Republic,140,19,9,0,45869,11,0,11427,0
Chad,148,19,9,0,67129,0,0,886,0
Congo,178,19,9,0,110639,641,0,10035,164
Democratic Republic of the Congo,180,19,9,0,549597,0,0,0,0
Equatorial Guinea,226,19,9,0,736,0,0,1478,0
Gabon,266,19,9,0,117159,1003,0,5411,0
Sao Tome and Principe,678,19,9,0,1027,0,0,206,0
Algeria,12,19,9,0,177958,18050,0,24629,0
Egypt,818,19,9,0,23717,35303,0,47905,829
Libya,434,19,9,0,67619,96885,0,133934,848
Morocco,504,19,9,0,16502,3493,0,23175,0
Sudan,729,19,9,0,1363287,3937,0,0,0
Tunisia,788,19,9,0,22656,375,0,6631,0
Western Sahara,732,19,9,0,2440,0,0,140,0
Botswa0,72,19,9,0,16926,3384,0,5474,0
Lesotho,426,19,9,0,3596,778,0,95,0
0mibia,516,19,9,0,80585,7247,0,26707,1991
South Africa,710,19,9,0,750843,37568,106,262164,4061
Swaziland,748,19,9,0,67523,0,0,297,0
Benin,204,19,9,0,55635,0,0,506,0
Burki0 Faso,854,19,9,0,83103,0,0,0,0
Cabo Verde,132,19,9,0,5039,41,0,1876,179
C<f4>te d'Ivoire,384,19,9,0,1789305,0,0,0,0
Gambia,270,19,9,0,114683,0,0,0,0
Gha0,288,19,9,0,145404,1243,0,2159,7
Guinea,324,19,9,0,392926,1897,0,4534,309
Guinea-Bissau,624,19,9,0,13535,0,0,836,0
Liberia,430,19,9,0,59733,5004,0,7680,0
Mali,466,19,9,0,90756,301,0,3306,0
Mauritania,478,19,9,0,108329,877,0,384,203
Niger,562,19,9,0,100780,0,0,0,0
Nigeria,566,19,9,0,299556,0,0,0,0
Saint Hele0,654,19,9,0,71,0,0,274,0
Senegal,686,19,9,0,216638,2088,0,12836,536
Sierra Leone,694,19,9,0,216844,2897,0,1372,0
Togo,768,19,9,0,70083,247,0,2112,0
Kazakhstan,398,19,9,0,0,271329,0,3347871,0
Kyrgyzstan,417,19,9,0,0,102224,0,506496,0
Tajikistan,762,19,9,0,273,55551,0,372375,37
Turkmenistan,795,19,9,0,0,168949,0,135426,0
Uzbekistan,860,19,9,0,0,73600,0,1503833,0
Chi0,156,19,9,0,0,250609,0,33499,14292
"Chi0, Hong Kong Special Administrative Region",344,19,9,0,0,1950051,0,50214,0
"Chi0, Macao Special Administrative Region",446,19,9,0,0,187897,0,3489,0
Democratic People's Republic of Korea,408,19,9,0,0,29118,0,1328,566
Japan,392,19,9,0,1159,920993,0,73372,70170
Mongolia,496,19,9,0,0,2695,0,3341,0
Republic of Korea,410,19,9,0,0,22146,0,18775,0
Brunei Darussalam,96,19,9,0,0,69580,0,2820,0
Cambodia,116,19,9,0,0,32235,0,447,0
Indonesia,360,19,9,0,0,311751,0,49340,0
Lao People's Democratic Republic,418,19,9,0,0,22056,0,18,0
Malaysia,458,19,9,0,51,597968,0,11285,0
Myanmar,104,19,9,0,0,120047,0,0,0
Philippines,608,19,9,0,1808,94753,67,31146,645
Singapore,702,19,9,0,0,437510,0,8184,0
Thailand,764,19,9,0,2,506342,0,22327,0
Timor-Leste,626,19,9,0,0,6769,0,886,237
Viet 0m,704,19,9,0,0,26692,0,706,0
Afghanistan,4,19,9,0,0,50671,0,0,0
Bangladesh,50,19,9,0,0,590065,0,50931,552
Bhutan,64,19,9,0,0,21722,0,260,0
India,356,19,9,0,15069,7308582,2385,36616,0
Iran (Islamic Republic of),364,19,9,0,0,4290497,0,0,0
Maldives,462,19,9,0,15,7407,0,1013,0
Nepal,524,19,9,0,0,411030,0,0,0
Pakistan,586,19,9,0,0,6203799,0,0,0
Sri Lanka,144,19,9,0,4,39690,0,241,0
Armenia,51,19,9,0,0,484826,0,79836,0
Azerbaijan,31,19,9,0,0,311939,0,45139,0
Bahrain,48,19,9,0,28087,138263,0,2298,0
Cyprus,196,19,9,0,3191,12429,1,27498,162
Georgia,268,19,9,0,0,53432,0,276988,0
Iraq,368,19,9,0,15408,33373,0,210,0
Israel,376,19,9,0,287760,309609,0,830915,37871
Jordan,400,19,9,0,174514,110541,0,6667,161
Kuwait,414,19,9,0,177443,846911,0,14253,0
Lebanon,422,19,9,0,79354,49720,0,1611,0
Oman,512,19,9,0,23721,270560,0,5071,0
Qatar,634,19,9,0,17456,275423,0,4204,0
Saudi Arabia,682,19,9,0,597326,4233353,0,0,0
State of Palestine,275,19,9,0,18770,238579,0,8436,0
Syrian Arab Republic,760,19,9,0,200,3825,0,0,0
Turkey,792,19,9,0,3230,99047,0,875657,231
United Arab Emirates,784,19,9,0,212803,1041786,0,17414,0
Yemen,887,19,9,0,79802,7887,0,0,0
Belarus,112,19,9,0,38,150390,0,1098166,167
Bulgaria,100,19,9,0,265,4686,2,13924,113
Czech Republic,203,19,9,0,441,5686,5,103836,353
Hungary,348,19,9,0,1207,12440,0,321711,844
Poland,616,19,9,0,2740,16116,0,1052782,1462
Republic of Moldova,498,19,9,0,0,32016,0,495108,0
Romania,642,19,9,0,18,5578,0,121150,10
Russian Federation,643,19,9,0,14728,6594047,0,4895760,7169
Slovakia,703,19,9,0,60,553,0,40496,61
Ukraine,804,19,9,0,2100,809455,0,5668055,0
Channel Islands,830,19,9,0,0,0,0,60399,0
Denmark,208,19,9,0,10002,74723,38,129870,5019
Estonia,233,19,9,0,0,18433,0,362922,0
Faeroe Islands,234,19,9,0,13,98,0,3864,28
Finland,246,19,9,0,2003,6021,7,52084,932
Iceland,352,19,9,0,207,801,0,8129,152
Ireland,372,19,9,0,3126,4079,10,219861,716
Isle of Man,833,19,9,0,303,0,0,32837,0
Latvia,428,19,9,0,36,5703,0,640194,59
Lithuania,440,19,9,0,8,28787,0,306971,158
Norway,578,19,9,0,11239,53736,12,110653,9992
