Country,Country code,Poptype,year,population
Burundi,108,Pop,1990,5613
Burundi,108,Pop,1995,6239
Burundi,108,Pop,2000,6767
Burundi,108,Pop,2005,7934
Burundi,108,Pop,2010,9461
Burundi,108,Pop,2015,11179
Burundi,108,MalePop,1990,2755
Burundi,108,MalePop,1995,3054
Burundi,108,MalePop,2000,3336
Burundi,108,MalePop,2005,3920
Burundi,108,MalePop,2010,4667
Burundi,108,MalePop,2015,5524
Burundi,108,FemalePop,1990,2858
Burundi,108,FemalePop,1995,3185
Burundi,108,FemalePop,2000,3431
Burundi,108,FemalePop,2005,4014
Burundi,108,FemalePop,2010,4794
Burundi,108,FemalePop,2015,5655
Comoros,174,Pop,1990,415
Comoros,174,Pop,1995,480
Comoros,174,Pop,2000,548
Comoros,174,Pop,2005,619
Comoros,174,Pop,2010,699
Comoros,174,Pop,2015,788
Comoros,174,MalePop,1990,208
Comoros,174,MalePop,1995,241
Comoros,174,MalePop,2000,276
Comoros,174,MalePop,2005,312
Comoros,174,MalePop,2010,352
Comoros,174,MalePop,2015,398
Comoros,174,FemalePop,1990,207
Comoros,174,FemalePop,1995,239
Comoros,174,FemalePop,2000,272
Comoros,174,FemalePop,2005,307
Comoros,174,FemalePop,2010,346
Comoros,174,FemalePop,2015,391
Djibouti,262,Pop,1990,588
Djibouti,262,Pop,1995,661
Djibouti,262,Pop,2000,723
Djibouti,262,Pop,2005,778
Djibouti,262,Pop,2010,831
Djibouti,262,Pop,2015,888
Djibouti,262,MalePop,1990,296
Djibouti,262,MalePop,1995,332
Djibouti,262,MalePop,2000,363
Djibouti,262,MalePop,2005,391
Djibouti,262,MalePop,2010,417
Djibouti,262,MalePop,2015,446
Djibouti,262,FemalePop,1990,292
Djibouti,262,FemalePop,1995,329
Djibouti,262,FemalePop,2000,359
Djibouti,262,FemalePop,2005,387
Djibouti,262,FemalePop,2010,413
Djibouti,262,FemalePop,2015,442
Eritrea,232,Pop,1990,3139
Eritrea,232,Pop,1995,3164
Eritrea,232,Pop,2000,3535
Eritrea,232,Pop,2005,4191
Eritrea,232,Pop,2010,4690
Eritrea,232,Pop,2015,5228
Eritrea,232,MalePop,1990,1558
Eritrea,232,MalePop,1995,1571
Eritrea,232,MalePop,2000,1758
Eritrea,232,MalePop,2005,2090
Eritrea,232,MalePop,2010,2344
Eritrea,232,MalePop,2015,2619
Eritrea,232,FemalePop,1990,1581
Eritrea,232,FemalePop,1995,1593
Eritrea,232,FemalePop,2000,1777
Eritrea,232,FemalePop,2005,2101
Eritrea,232,FemalePop,2010,2346
Eritrea,232,FemalePop,2015,2609
Ethiopia,231,Pop,1990,48057
Ethiopia,231,Pop,1995,57237
Ethiopia,231,Pop,2000,66444
Ethiopia,231,Pop,2005,76608
Ethiopia,231,Pop,2010,87562
Ethiopia,231,Pop,2015,99391
Ethiopia,231,MalePop,1990,23966
Ethiopia,231,MalePop,1995,28536
Ethiopia,231,MalePop,2000,33129
Ethiopia,231,MalePop,2005,38217
Ethiopia,231,MalePop,2010,43697
Ethiopia,231,MalePop,2015,49608
Ethiopia,231,FemalePop,1990,24091
Ethiopia,231,FemalePop,1995,28701
Ethiopia,231,FemalePop,2000,33314
Ethiopia,231,FemalePop,2005,38392
Ethiopia,231,FemalePop,2010,43865
Ethiopia,231,FemalePop,2015,49783
Kenya,404,Pop,1990,23446
Kenya,404,Pop,1995,27373
Kenya,404,Pop,2000,31066
Kenya,404,Pop,2005,35349
Kenya,404,Pop,2010,40328
Kenya,404,Pop,2015,46050
Kenya,404,MalePop,1990,11678
Kenya,404,MalePop,1995,13633
Kenya,404,MalePop,2000,15488
Kenya,404,MalePop,2005,17665
Kenya,404,MalePop,2010,20159
Kenya,404,MalePop,2015,23017
Kenya,404,FemalePop,1990,11768
Kenya,404,FemalePop,1995,13740
Kenya,404,FemalePop,2000,15578
Kenya,404,FemalePop,2005,17684
Kenya,404,FemalePop,2010,20169
Kenya,404,FemalePop,2015,23033
Madagascar,450,Pop,1990,11546
Madagascar,450,Pop,1995,13453
Madagascar,450,Pop,2000,15745
Madagascar,450,Pop,2005,18290
Madagascar,450,Pop,2010,21080
