Country,Country code,REFUGEES_1990,REFUGEES_1995,REFUGEES_2000,REFUGEES_2005,REFUGEES_2010,REFUGEES_2015
Burundi,108,267929,173017,27136,20681,29365,47805
Comoros,174,0,5,10,5,0,0
Djibouti,262,54508,27310,23257,10456,15104,20530
Eritrea,232,0,1083,1984,4418,4809,2898
Ethiopia,231,741965,393479,197959,100817,154295,659524
Kenya,404,13452,234665,206106,251271,402905,551352
Madagascar,450,0,0,50,0,0,12
Malawi,454,874614,1018,3900,4240,5740,5844
Mozambique,508,420,128,207,1954,4077,4445
Rwanda,646,23446,25257,30118,59117,65574,72763
Somalia,706,460000,626,558,493,1937,2502
Uganda,800,145718,229350,236622,257256,135801,358453
United Republic of Tanzania,834,265184,829671,680862,548824,109286,90650
Zambia,894,137615,129965,228663,155718,47857,24666
Zimbabwe,716,183150,514,4127,4435,4435,5397
Angola,24,12000,11404,12579,13867,15155,15474
Cameroon,120,49253,47854,46454,52042,104275,264126
Central African Republic,140,3389,33856,55661,24569,21574,7694
Chad,148,0,100,17692,275412,347939,454882
Congo,178,3196,19404,123190,66075,133112,49152
Democratic Republic of the Congo,180,378562,1433760,332509,204341,166336,119754
Gabon,266,209,791,17982,8545,9015,1013
Algeria,12,169107,192489,167453,94101,94144,94144
Egypt,818,1866,5407,6697,88946,95056,261741
Libya,434,0,3973,11543,12166,7923,25561
Morocco,504,307,55,2105,219,792,1560
Sudan,729,1031050,674071,414928,147256,144008,205174
Tunisia,788,30,199,175,113,112,924
Botswana,72,1220,266,3551,3109,2986,2766
Lesotho,426,2231,1116,1,1,0,44
Namibia,516,0,1682,27263,5307,7254,1519
South Africa,710,90000,101408,15063,29714,57899,112192
Swaziland,748,42074,712,690,760,759,553
Benin,204,657,2317,3977,5558,7139,219
Burkina Faso,854,355,521,686,609,531,31894
C<f4>te d'Ivoire,384,136381,297908,120691,41627,26218,2842
Gambia,270,39,6599,12016,7998,8378,11608
Ghana,288,4102,83200,12991,53537,13828,18450
Guinea,324,325000,672298,427206,63525,14113,8766
Guinea-Bissau,624,3004,15350,7587,7616,7679,8684
Liberia,430,125,120080,69315,10168,24735,38188
Mali,466,13411,17916,8412,11233,13558,14525
Mauritania,478,60000,34394,350,632,26717,79961
Niger,562,792,27622,58,301,314,61084
Nigeria,566,3571,8118,7270,9019,8747,1530
Senegal,686,58113,66769,22715,23341,22849,14257
Sierra Leone,694,125830,11350,6546,59965,8363,2403
Togo,768,3477,10876,12223,9287,14051,22165
Kazakhstan,398,0,8843,17685,7265,4406,633
Kyrgyzstan,417,0,5365,10729,6594,2458,482
Tajikistan,762,3000,620,15364,1018,3131,2215
Turkmenistan,795,0,23323,14188,11963,62,36
Uzbekistan,860,0,2627,38350,43950,311,133
China,156,285788,289747,293705,297346,300986,301052
"China, Hong Kong Special Administrative Region",344,10092,5536,979,567,154,184
Japan,392,6649,5322,3752,1941,2586,2560
Mongolia,496,0,0,0,0,12,3
Republic of Korea,410,0,5,6,69,358,874
Cambodia,116,0,15,34,130,129,104
Indonesia,360,2138,202,142562,405,811,4270
Malaysia,458,14862,23323,50487,33693,81516,98207
Philippines,608,19860,783,176,96,243,189
Singapore,702,146,112,0,3,7,3
Thailand,764,99821,106565,104965,117053,96675,132838
Timor-Leste,626,0,0,0,3,1,0
Viet Nam,704,21150,34400,15945,2357,1928,0
Afghanistan,4,25,19605,0,32,6434,300569
Bangladesh,50,73,10996,21919,125586,229253,232584
India,356,111146,227480,170941,139283,184821,198665
