Ward,Total_2010,White_2010,Black_2010,Asian_2010,Latino_2010,Other_2010,Total_2016,White_2016,Black_2016,Asian_2016,Latino_2016,Other_2016
1,"56,149","25,337","3,749","1,704","24,204","1,155","56,661","28,550","3,341","2,091","21,339","1,341"
2,"55,805","42,695","3,159","3,650","5,223","1,078","57,705","43,108","3,384","4,002","5,866","1,345"
3,"53,039","11,892","34,051","3,984","1,975","1,137","55,763","12,602","33,351","6,234","2,270","1,308"
4,"54,589","12,421","34,409","4,250","2,007","1,502","57,301","13,849","34,362","5,233","2,222","1,635"
5,"51,455","11,940","32,685","3,368","1,915","1,547","52,073","12,333","32,141","3,870","2,374","1,354"
6,"52,341",226,"50,903",27,536,649,"49,735",537,"47,846",31,718,603
7,"51,581",778,"47,283",89,"2,569",862,"49,609","1,313","45,189",46,"2,301",761
8,"51,687",292,"49,881",73,695,746,"48,507",548,"46,863",26,567,503
9,"51,519",752,"47,917",33,"2,173",644,"50,863","1,114","46,966",72,"2,176",534
10,"51,535","9,159","9,175",139,"32,587",475,"49,342","9,083","8,681",74,"31,377",129
11,"51,497","19,210","2,302","17,277","11,886",822,"54,977","19,598","2,474","19,589","12,257","1,058"
12,"52,235","4,517","1,085","3,725","42,577",331,"50,915","4,036",682,"4,816","40,838",544
13,"53,722","17,789",933,389,"34,260",351,"56,692","17,000","1,072",391,"37,926",302
14,"54,031","9,115",786,758,"43,164",208,"54,864","7,757",542,"1,365","45,069",131
15,"51,501","2,442","11,405",483,"36,874",297,"47,155","2,082","8,485",673,"35,637",279
16,"51,954",728,"35,474",83,"15,170",499,"49,535",708,"30,200",67,"17,968",592
17,"51,846","1,134","41,917",105,"8,183",507,"49,271","1,134","38,398",210,"8,520","1,008"
18,"52,992","6,715","28,827",336,"16,524",590,"54,355","5,434","29,751",308,"17,879",982
19,"51,525","34,595","13,052",314,"2,786",778,"52,676","34,023","13,415",502,"3,792",943
20,"52,372","2,023","41,397",694,"7,477",781,"47,996","2,493","36,990",806,"6,826",882
21,"51,632",149,"50,455",17,468,543,"50,096",242,"48,685",42,530,597
22,"53,515","2,118","4,417",182,"46,597",201,"52,551","2,261","3,020",231,"46,810",229
23,"53,728","15,911","1,347",346,"35,823",301,"55,314","14,217","1,273",579,"38,993",250
24,"54,909","2,185","46,937",121,"5,245",421,"52,041","1,941","44,145",82,"5,325",550
25,"54,539","10,871","4,758","7,543","30,670",697,"52,840","11,701","4,863","8,693","26,899",683
26,"53,516","10,470","6,619",576,"35,211",640,"51,809","11,730","6,501",786,"32,022",769
27,"52,939","13,328","31,471","1,803","5,347",990,"55,109","15,271","29,842","2,025","6,755","1,216"
28,"55,199","6,432","41,554","2,680","3,720",813,"56,091","7,160","40,965","2,872","4,384",710
29,"55,267","8,625","38,026",654,"7,262",700,"55,647","7,759","37,949",473,"8,968",498
30,"55,560","15,566","1,169","1,711","36,415",699,"56,143","14,394","1,097","1,674","38,053",924
31,"53,724","10,184","1,263",989,"40,767",521,"51,689","9,436","1,099",931,"39,418",805
32,"55,184","40,036","1,474","2,511","9,996","1,167","59,098","43,073","1,195","2,574","10,496","1,760"
33,"55,598","17,958","1,961","4,956","29,413","1,310","56,121","19,405","2,226","5,323","27,439","1,727"
34,"51,599",273,"50,042",39,667,578,"48,099",373,"46,264",19,580,864
35,"55,281","10,855","2,359","2,791","38,313",963,"54,557","12,426","1,938","3,234","36,106",854
36,"54,766","14,395","1,883","1,461","36,496",531,"53,377","12,361","1,651","1,406","37,411",549
37,"51,538",752,"40,790",183,"9,356",457,"51,178",652,"36,598",202,"13,009",716
38,"56,001","38,754",485,"2,319","13,680",763,"59,861","37,475","1,172","2,469","17,714","1,032"
39,"55,882","30,133","1,495","9,238","13,111","1,905","57,712","30,471","1,354","10,815","13,446","1,625"
40,"55,319","28,138","3,817","8,757","13,049","1,558","55,942","29,051","3,451","8,722","12,433","2,284"
41,"56,012","46,122",568,"2,842","5,596",884,"54,866","44,506",620,"2,747","5,390","1,603"
42,"55,870","38,810","2,933","9,447","3,233","1,447","66,203","45,782","2,657","12,356","3,794","1,615"
43,"56,170","47,644","1,765","2,897","2,704","1,160","58,670","47,264","2,292","3,659","3,565","1,890"
44,"56,058","46,286","1,597","3,430","3,567","1,178","59,871","48,554","1,626","4,506","3,649","1,536"
45,"55,967","36,009",861,"4,174","13,736","1,187","57,629","35,567",665,"4,440","15,688","1,270"
46,"53,784","30,787","10,686","4,760","6,188","1,363","53,370","30,596","9,845","4,520","6,536","1,872"
47,"55,074","41,172","1,484","3,343","7,700","1,375","59,723","45,611","1,445","3,334","7,585","1,748"
48,"55,909","30,112","9,043","7,331","7,759","1,664","55,446","30,325","8,688","7,083","7,631","1,718"
49,"55,895","21,693","14,966","3,765","13,455","2,016","56,544","23,573","15,413","3,499","12,138","1,921"
50,"55,809","25,210","5,671","12,556","10,533","1,839","58,073","26,695","6,527","12,905","9,699","2,247"
Chicago,"2,695,619","854,738","872,286","144,903","778,862","44,830","2,711,666","877,177","829,194","162,607","790,391","52,297"
